neighborhood,total_incidents,log_incidents,log_area,dist_to_downtown_km,log_population,total_population,lim_at_prevalence,unemployment_rate,n_addresses,concentration_ratio
South Eglinton-Davisville,0,0.0,-0.05730179345125484,5.1888319378864445,10.031660866259111,22735.0,15.3,10.6,0,0.0
North Toronto,0,0.0,-0.9112266226143791,6.134005377962199,9.673130546703616,15885.0,18.5,13.0,0,0.0
Dovercourt Village,46,3.8501476017100584,0.40746455798945697,4.0780016664367436,9.423837546238587,12380.0,10.0,13.8,2,0.9130434782608695
Junction-Wallace Emerson,39,3.6888794541139363,0.7987976717333732,5.334717684207769,10.051045116893743,23180.0,11.2,14.0,2,0.8461538461538461
Yonge-Bay Corridor,17,2.8903717578961645,0.11218922126381095,0.4508889169622914,9.445017159104065,12645.0,24.3,13.3,1,1.0
Bay-Cloverhill,0,0.0,-0.3702687960886973,1.205569565649419,9.72136597574484,16670.0,29.0,15.0,0,0.0
Bendale-Glen Andrew,8,2.1972245773362196,1.5919306066494037,15.623181989229447,9.835476341919584,18685.0,17.0,15.0,1,1.0
Downsview,17,2.8903717578961645,2.1141851033813293,11.901523922947579,9.796458979777604,17970.0,9.6,14.5,1,1.0
Oakdale-Beverley Heights,176,5.176149732573829,1.899887344349387,13.113907819351166,9.97208034400174,21420.0,14.4,16.9,1,1.0
Avondale,0,0.0,0.0311909090076813,11.767032773855231,9.531698970787348,13790.0,18.6,11.4,0,0.0
East Willowdale,6,1.9459101490553132,1.2566964400509042,13.13611191676152,9.647627092407303,15485.0,16.9,13.5,1,1.0
Yonge-Doris,0,0.0,-0.7513759697144871,13.076075326531493,9.911455722185305,20160.0,22.5,12.8,0,0.0
Fenside-Parkwoods,0,0.0,1.198613396708398,12.371342907874617,9.928667851066427,20510.0,13.2,15.7,0,0.0
Parkwoods-O'Connor Hills,0,0.0,1.4223795812268822,11.179841844794376,9.544309478379278,13965.0,10.7,16.3,0,0.0
East L'Amoreaux,0,0.0,1.306795521056222,16.968133453570836,9.975575628930383,21495.0,13.5,17.9,0,0.0
L'Amoreaux West,0,0.0,1.241496384017706,15.809089008774272,9.977899050049938,21545.0,15.8,15.8,0,0.0
Malvern East,0,0.0,1.5753219058603352,20.940222845828877,10.169499004077514,26095.0,11.7,16.2,1,0.0
Malvern West,0,0.0,1.3937157618381883,20.51235120762682,9.759617182116425,17320.0,9.7,17.5,0,0.0
Morningside Heights,0,0.0,3.365736279009894,24.08813317788296,10.124228219234027,24940.0,5.7,15.0,0,0.0
West Rouge,0,0.0,2.1497778687971816,24.504099047002033,9.936438652675815,20670.0,6.2,14.5,0,0.0
Woburn North,81,4.406719247264253,1.840421641173416,17.396169771582873,10.187914332267237,26580.0,15.5,16.0,2,0.5185185185185185
Golfdale-Cedarbrae-Woburn,0,0.0,1.797576142352233,17.31876831536407,10.206735348092,27085.0,16.0,16.7,0,0.0
Guildwood,0,0.0,1.336598665174889,18.132666103601736,9.177817180270623,9680.0,5.8,13.5,0,0.0
Scarborough Village,8,2.1972245773362196,1.1478940875750423,16.047229561638453,9.71232704707497,16520.0,17.1,17.8,1,1.0
Eglinton East,0,0.0,1.1703980930276507,14.369343478046215,10.02282493512475,22535.0,13.9,17.1,0,0.0
West Hill,71,4.276666119016055,2.264422052951842,20.544590268174527,10.24494733066838,28140.0,15.2,16.9,3,0.7464788732394366
Morningside,4,1.6094379124341003,1.7475002814016942,19.786102903823053,9.77905747415795,17660.0,12.4,15.7,1,1.0
Highland Creek,0,0.0,1.6578767734698816,22.14910122120883,9.443434254143561,12625.0,6.4,15.0,0,0.0
Centennial Scarborough,0,0.0,1.6989895114218354,23.200676186583426,9.50151633368222,13380.0,4.4,11.6,0,0.0
Milliken,0,0.0,2.248977155443079,20.151588164511182,10.084975428581505,23980.0,14.6,19.0,0,0.0
Agincourt North,0,0.0,1.9826574350211505,18.941948603217046,10.223394772282646,27540.0,12.4,17.3,0,0.0
